,kernel,pid,visit,accuracy,neg_log_loss,log_marginal_likelihood
50,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),26,2,0.694758064516129,-0.5968711851483199,-95.99055535412278
51,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),26,3,0.5805042016806723,-0.685706389136033,-118.709501568868
52,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),27,1,,,-3.5454173365810773
53,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),27,2,,,-3.545595014433636
54,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),27,3,,,-3.553243633710545
55,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),28,1,,,-3.536529348409935
56,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),28,2,,,-3.5316689812864404
57,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),28,3,,,-3.53911949811699
58,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),29,1,0.9666666666666667,-0.17050051903762675,-10.316484231825104
59,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),29,2,0.96,-0.15973658668646887,-20.298747398499835
60,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),29,3,,,-3.542407446235176
61,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),30,1,0.9659003831417624,-0.12048177737568026,-14.379909184643491
62,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),30,2,0.9663793103448276,-0.1582005040630899,-20.265314660025332
63,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),30,3,0.967741935483871,-0.17976592267888697,-11.72916239082813
64,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),31,1,,,-3.5130013130986826
65,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),31,2,,,-3.527133664756368
66,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),31,3,,,-4.309385816249311
67,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),32,1,0.9861111111111112,-0.1626305021685695,-4.694457167313168
68,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),32,2,,,-3.5984490269413216
69,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),33,1,,,-3.469697959987175
70,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),33,2,,,-4.306778187075224
71,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),33,3,,,-3.5469595550704187
72,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),35,1,,,-3.5314960865706166
73,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),35,2,,,-4.137281157065305
74,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),36,1,0.8206153846153846,-0.4712019643130384,-62.67479766079484
75,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),36,2,0.8532019704433497,-0.41904335452425523,-62.17991774231082
