,regressor,pid,visit,r2,max_error,MSE
54,KNeighborsRegressor(),27,3,0.15137794583594555,-0.25368,-0.008925345545454546
55,KNeighborsRegressor(),28,1,-0.8180717308392775,-0.64092,-0.05613236980645162
56,KNeighborsRegressor(),28,2,0.10021622239956093,-0.4603200000000001,-0.023954964965517245
57,KNeighborsRegressor(),28,3,0.10423862446500995,-0.31920000000000004,-0.016632474322580644
58,KNeighborsRegressor(),29,1,0.19616290946579734,-1.34328,-0.20918629832643676
59,KNeighborsRegressor(),29,2,-0.11871044932864354,-2.2375999999999996,-0.4135986943066666
60,KNeighborsRegressor(),29,3,0.21016771729484002,-0.6803999999999999,-0.0828629629935484
61,KNeighborsRegressor(),30,1,-0.3488716618541896,-1.7086399999999997,-0.3957921908965517
62,KNeighborsRegressor(),30,2,-0.646180254821409,-1.6256799999999998,-0.4512550031724139
63,KNeighborsRegressor(),30,3,-0.6428095735227123,-1.4466,-0.29112384634838717
64,KNeighborsRegressor(),31,1,0.2467390739545637,-0.23772000000000001,-0.010214406519540229
65,KNeighborsRegressor(),31,2,0.10808111481783045,-0.2982000000000001,-0.013189642666666671
66,KNeighborsRegressor(),31,3,-0.25806203230407926,-0.56532,-0.02585609858924731
67,KNeighborsRegressor(),32,1,-0.4814772889928193,-1.2482,-0.15293688622857146
68,KNeighborsRegressor(),32,2,-0.42296568742637763,-0.46536,-0.03440981475303645
69,KNeighborsRegressor(),33,1,0.057425349804075695,-0.78624,-0.11039515887179485
70,KNeighborsRegressor(),33,2,-0.20285498816180506,-0.45948,-0.043183147475268815
71,KNeighborsRegressor(),33,3,0.2999092977704539,-0.4074000000000001,-0.02443547213709677
72,KNeighborsRegressor(),35,1,-0.03933971300844907,-0.64512,-0.05197374215384616
73,KNeighborsRegressor(),35,2,-0.26199482194613666,-0.49896,-0.034237280603076924
74,KNeighborsRegressor(),36,1,-0.13076090734292517,-2.54804,-1.3924243948923076
75,KNeighborsRegressor(),36,2,-0.20831806758067936,-2.8506,-1.4156745635862067
76,KNeighborsRegressor(),36,3,-0.3591337201314244,-2.7382,-1.7670812925885055
77,KNeighborsRegressor(),37,1,-0.9915028041859346,-1.3508399999999998,-0.3158526023267974
78,KNeighborsRegressor(),37,2,-8.616241048210536,-2.5761200000000004,-2.4459975584344087
